"_real,_time","_totl,_time",missn_time,"timer,_time","_zulu,_time","local,_time","hobbs,_time","_Vind,_kias","_Vind,_keas","Vtrue,_ktas","Vtrue,_ktgs","_Vind,__mph","Vtrue,mphas","Vtrue,mphgs","_Mach,ratio","__VVI,__fpm","Gload,norml","Gload,axial","Gload,_side","alpha,__deg",_beta__deg,"hpath,_true","vpath,__deg","_slip,__deg","pitch,__deg","_roll,__deg","hding,_true","hding,__mag","mavar,__deg","__mag,_comp","__lat,__deg","__lon,__deg","___CG,ftMSL","_gear,ftagl","terrn,ftMSL","p-alt,ftMSL","__lat,orign","__lon,orign","thro1,engin"
84.27673,1497.65393,8.30466,0,11.21596,16.71596,3.80368,155.9155,155.46481,200.25523,200.24623,179.42436,230.44962,230.43925,0.32129,183.69473,1.00581,0.06499,-0.00131,3.54489,-0.10578,175.01276,0.57796,-0.075,4.12342,0.34161,174.9281,174.51085,-0.41725,174.97202,26.50351,82.62669,16327.39453,16033.68457,290.34387,16327.38086,26.5,83,0.11765
84.38753,1497.76477,8.41546,0,11.21599,16.71599,3.80371,155.90089,155.45186,200.23978,200.23041,179.40755,230.43184,230.42105,0.32127,186.12119,1.00559,0.06518,-0.00131,3.54471,-0.10566,175.01558,0.58374,-0.07498,4.12901,0.33906,174.93089,174.51366,-0.41723,174.9727,26.50341,82.62671,16327.77344,16033.48828,290.91809,16327.75977,26.5,83,0.11765
84.50087,1497.87805,8.5288,0,11.21602,16.71602,3.80374,155.88614,155.43872,200.22418,200.21457,179.39056,230.41388,230.40282,0.32125,188.55637,1.00536,0.06538,-0.0013,3.54453,-0.10556,175.01845,0.58952,-0.07495,4.1346,0.33657,174.9337,174.51648,-0.41722,174.9735,26.5033,82.62672,16328.16504,16033.29199,291.50549,16328.15137,26.5,83,0.11765
84.6277,1498.00488,8.65563,0,11.21606,16.71606,3.80378,155.86987,155.4243,200.20705,200.19724,179.37186,230.39417,230.38287,0.32122,191.21843,1.00512,0.06559,-0.0013,3.54434,-0.10547,175.02164,0.59584,-0.07491,4.14073,0.33392,174.9368,174.51961,-0.4172,174.97433,26.50319,82.62672,16328.6084,16033.07715,292.1629,16328.59375,26.5,83,0.11765
84.77824,1498.13721,8.78793,0,11.21609,16.71609,3.80382,155.85312,155.40947,200.18948,200.17952,179.35257,230.37396,230.36249,0.32119,193.93834,1.00488,0.06581,-0.0013,3.54418,-0.10543,175.02492,0.60226,-0.07485,4.14699,0.33124,174.93994,174.52277,-0.41718,174.97525,26.50306,82.62674,16329.07422,16032.85938,292.8486,16329.06055,26.5,83,0.11765
84.88779,1498.2467,8.89748,0,11.21612,16.71612,3.80385,155.83943,155.39734,200.17516,200.16495,179.33682,230.35745,230.34572,0.32117,196.14211,1.00469,0.06599,-0.0013,3.54407,-0.10541,175.0276,0.60746,-0.07481,4.15208,0.32905,174.94254,174.52538,-0.41716,174.97597,26.50296,82.62675,16329.46484,16032.68164,293.41647,16329.45117,26.5,83,0.11765
85.01024,1498.36365,9.01443,0,11.21616,16.71616,3.80388,155.82498,155.38464,200.16017,200.14972,179.32019,230.34023,230.32819,0.32115,198.45219,1.00449,0.06617,-0.0013,3.54397,-0.10541,175.03046,0.6129,-0.07476,4.15741,0.32673,174.94525,174.52811,-0.41715,174.97673,26.50286,82.62676,16329.88477,16032.49414,294.02264,16329.87109,26.5,83,0.11765
85.10474,1498.45813,9.10893,0,11.21618,16.71618,3.80391,155.81346,155.3744,200.14813,200.13747,179.30693,230.32637,230.31409,0.32113,200.2832,1.00437,0.06633,-0.0013,3.54389,-0.10542,175.03275,0.61721,-0.07473,4.16164,0.32484,174.94739,174.53026,-0.41713,174.97737,26.50277,82.62677,16330.22656,16032.34668,294.51254,16330.21289,26.5,83,0.11765
85.18648,1498.53992,9.19067,0,11.21621,16.71621,3.80393,155.80353,155.36584,200.13789,200.12918,179.2955,230.31459,230.30455,0.32111,201.84903,1.00426,0.06645,-0.0013,3.5438,-0.10545,175.0347,0.6209,-0.07471,4.16523,0.32318,174.94922,174.5321,-0.41712,174.97789,26.50269,82.62678,16330.52441,16032.22168,294.93625,16330.51074,26.5,83,0.11765
85.24834,1498.60181,9.25253,0,11.21622,16.71622,3.80394,155.79625,155.35915,200.1302,200.11926,179.28712,230.30573,230.29314,0.3211,202.99606,1.00412,0.06655,-0.0013,3.54373,-0.10546,175.03616,0.62364,-0.0747,4.16791,0.3219,174.95061,174.53349,-0.41711,174.97826,26.50263,82.62678,16330.75098,16032.12695,295.25696,16330.7373,26.5,83,0.11765
85.38535,1498.71777,9.36849,0,11.21625,16.71626,3.80398,155.78246,155.34698,200.11595,200.10481,179.27126,230.28932,230.27652,0.32108,205.14401,1.00392,0.06672,-0.0013,3.54358,-0.10552,175.03889,0.6287,-0.07468,4.17282,0.31947,174.95312,174.53603,-0.41709,174.97902,26.50253,82.62679,16331.17871,16031.95215,295.85812,16331.16504,26.5,83,0.11765
85.47719,1498.80957,9.46033,0,11.21628,16.71628,3.804,155.77168,155.33749,200.10484,200.09352,179.25885,230.27655,230.26352,0.32106,206.81218,1.00376,0.06685,-0.0013,3.54346,-0.10553,175.04106,0.63262,-0.07467,4.17661,0.31749,174.95515,174.53807,-0.41708,174.97957,26.50244,82.6268,16331.51953,16031.81738,296.33426,16331.50586,26.5,83,0.11765
